oa,lsoa,msoa,la
E00076704,E01015181,E02003149,Plymouth
E00076703,E01015181,E02003149,Plymouth
E00076700,E01015180,E02003149,Plymouth
E00076694,E01015180,E02003149,Plymouth
E00076701,E01015180,E02003149,Plymouth
E00076706,E01015181,E02003149,Plymouth
E00076708,E01015180,E02003149,Plymouth
E00076159,E01015076,E02003130,Plymouth
E00076148,E01015075,E02003135,Plymouth
E00076147,E01015076,E02003130,Plymouth
E00076154,E01015076,E02003130,Plymouth
E00076149,E01015076,E02003130,Plymouth
E00076494,E01015150,E02003130,Plymouth
E00076519,E01015146,E02003130,Plymouth
E00076146,E01015076,E02003130,Plymouth
E00076160,E01015075,E02003135,Plymouth
E00076524,E01015145,E02003135,Plymouth
E00076523,E01015145,E02003135,Plymouth
E00076525,E01015145,E02003135,Plymouth
E00076526,E01015145,E02003135,Plymouth
E00076488,E01015146,E02003130,Plymouth
E00076518,E01015146,E02003130,Plymouth
E00076520,E01015145,E02003135,Plymouth
