oa,lsoa,msoa,la
E00076331,E01015110,E02003139,Plymouth
E00076314,E01015110,E02003139,Plymouth
E00076321,E01015110,E02003139,Plymouth
E00076336,E01015108,E02003143,Plymouth
E00076317,E01015111,E02003139,Plymouth
E00076375,E01015123,E02003136,Plymouth
E00076407,E01015121,E02003136,Plymouth
E00076392,E01015124,E02003136,Plymouth
E00076403,E01015125,E02003136,Plymouth
E00076391,E01015125,E02003136,Plymouth
E00076388,E01015125,E02003136,Plymouth
E00076389,E01015125,E02003136,Plymouth
E00076404,E01015125,E02003136,Plymouth
E00076371,E01015123,E02003136,Plymouth
E00076406,E01015121,E02003136,Plymouth
E00076394,E01015120,E02003136,Plymouth
E00076379,E01015118,E02003140,Plymouth
E00076400,E01015121,E02003136,Plymouth
E00076402,E01015121,E02003136,Plymouth
E00076396,E01015121,E02003136,Plymouth
E00076385,E01015123,E02003136,Plymouth
E00076374,E01015120,E02003136,Plymouth
E00076369,E01015120,E02003136,Plymouth
E00076383,E01015122,E02003140,Plymouth
E00076376,E01015122,E02003140,Plymouth
E00076377,E01015119,E02003139,Plymouth
E00076373,E01015122,E02003140,Plymouth
E00076393,E01015122,E02003140,Plymouth
E00076390,E01015120,E02003136,Plymouth
E00076397,E01015118,E02003140,Plymouth
E00076401,E01015118,E02003140,Plymouth
E00076405,E01015122,E02003140,Plymouth
E00076372,E01015118,E02003140,Plymouth
E00076370,E01015118,E02003140,Plymouth
E00076398,E01015119,E02003139,Plymouth
E00076399,E01015119,E02003139,Plymouth
E00076473,E01015136,E02003152,Plymouth
E00076460,E01015134,E02003153,Plymouth
E00076471,E01015136,E02003152,Plymouth
E00076476,E01015136,E02003152,Plymouth
E00076475,E01015136,E02003152,Plymouth
E00076462,E01015134,E02003153,Plymouth
E00076461,E01015135,E02003152,Plymouth
E00076464,E01015135,E02003152,Plymouth
E00076459,E01015134,E02003153,Plymouth
E00076411,E01015132,E02003151,Plymouth
E00076416,E01015132,E02003151,Plymouth
E00076467,E01015137,E02003152,Plymouth
E00076468,E01015137,E02003152,Plymouth
E00076469,E01015137,E02003152,Plymouth
E00076465,E01015137,E02003152,Plymouth
E00076474,E01015137,E02003152,Plymouth
E00076463,E01015135,E02003152,Plymouth
E00076448,E01015132,E02003151,Plymouth
E00076425,E01015126,E02003151,Plymouth
E00076420,E01015131,E02003151,Plymouth
E00076413,E01015131,E02003151,Plymouth
E00076417,E01015131,E02003151,Plymouth
E00076421,E01015127,E02003151,Plymouth
